Odgovor,Broj,Postotak
Grad Zagreb,269,29.21
Varaždinska,68,7.38
Zagrebačka,46,4.99
Zagreb,28,3.04
Splitsko-dalmatinska,28,3.04
Primorsko-goranska,25,2.71
Zadarska,25,2.71
Krapinsko-zagorska,25,2.71
Osječko-baranjska,21,2.28
Splitsko dalmatinska,18,1.95
Istarska,17,1.85
Primorsko goranska,15,1.63
Karlovačka,12,1.30
Grad zagreb,12,1.30
PGŽ,12,1.30
Međimurska,11,1.19
Dubrovačko-neretvanska,11,1.19
Šibensko-kninska,9,0.98
Zagrebacka,8,0.87
Koprivničko-križevačka,8,0.87
Varaždinska županija,8,0.87
grad Zagreb,7,0.76
Virovitičko-podravska,7,0.76
Krapinsko zagorska,7,0.76
Zagrebačka županija,6,0.65
Vukovarsko-srijemska,6,0.65
grad zagreb,6,0.65
Sisačko-moslavačka,6,0.65
Bjelovarsko-bilogorska,5,0.54
Primorsko-Goranska,5,0.54
Sisačko moslavačka,5,0.54
Dubrovačko neretvanska,4,0.43
zagrebacka,4,0.43
Primorsko Goranska,4,0.43
Primorsko-goranska županija,4,0.43
Krapinsko-zagorska županija,4,0.43
Šibensko-Kninska,4,0.43
Karlovacka,3,0.33
zagrebačka,3,0.33
zagreb,3,0.33
Pgž,3,0.33
Osječko-baranjska županija,3,0.33
Šibensko kninska,3,0.33
Osjecko baranjska,3,0.33
splitsko-dalmatinska,3,0.33
Bjelovarsko bilogorska,3,0.33
Brodsko Posavska,3,0.33
Požeško-slavonska,2,0.22
Virovitičko-podravska županija,2,0.22
Primorsko goranska županija,2,0.22
Šibensko kninska županija,2,0.22
Koprivničko križevačka,2,0.22
Koprivničko-Križevačka,2,0.22
Osječko baranjska,2,0.22
Međimurska županija,2,0.22
Vukovarsko-srijemska županija,2,0.22
Splitsko-dalmatinska županija,2,0.22
varaždinska,2,0.22
Sisačko-Moslavačka,2,0.22
Dubrovacko-neretvanska,2,0.22
splitsko dalmatinska,2,0.22
Brodsko-posavska,2,0.22
Druga država,2,0.22
Ostalo,2,0.22
Krapinsko Zagorska,2,0.22
zadarska,2,0.22
Splitsko-Dalmatinska,2,0.22
Dubrovacko neretvanska zupanija,1,0.11
Vokovarsko-srijemska,1,0.11
Dubrovačko-Neretvanska,1,0.11
DNŽ,1,0.11
Karlovačka Županija,1,0.11
dubrovacka,1,0.11
P,1,0.11
Istatska,1,0.11
Sisačko-molavačka,1,0.11
Zagrebačka Županija,1,0.11
PGž,1,0.11
Vukovarsko - srijemska županija,1,0.11
Dubrovačko - neretvanska,1,0.11
Bjelovarsko-bilogorska županija,1,0.11
Dubrovacko neretvansks,1,0.11
Brodsko- posavska,1,0.11
Dubrovacko neretvanska,1,0.11
Virovitičko - podravska,1,0.11
Prinorsko goranska,1,0.11
Virovitičko-Podravska,1,0.11
Koprivnicko krizevacka,1,0.11
Sisacko-Moslavacka županija,1,0.11
splitsko-dalamtinska,1,0.11
SMŽ,1,0.11
Krapinski-zagorska,1,0.11
Splitsko dalamrinska,1,0.11
Grad Zgreb,1,0.11
Krapinsko - zagorska,1,0.11
Splitno dalmatinska,1,0.11
PRIMORSKO GORANSKA,1,0.11
Medimurska,1,0.11
Splitsko -dalmatinska,1,0.11
VARAŽDINSKA,1,0.11
SPLITSKO DDALMATINSKA,1,0.11
Koprivničko križevačka županija,1,0.11
splitsko dalmatinska županija,1,0.11
Zadarska županija,1,0.11
Zadarska zupanija,1,0.11
Krapinsko zagorska županija,1,0.11
Željka,1,0.11
Šibensko Kninska,1,0.11
Viroviticko podravska,1,0.11
Bjelovarsko Bilogorska,1,0.11
Osječko Baranjska,1,0.11
Zagrebača,1,0.11
Grad Gagreb,1,0.11
Varazdin,1,0.11
Sisačko moslovačka,1,0.11
Sisačko Moslavačka,1,0.11
Sisačko-moslavačka županija,1,0.11
Varaždin,1,0.11
Sisačko- moslavačka,1,0.11
Varazdinska,1,0.11
BBŽ,1,0.11
BiH,1,0.11
Druga drzava,1,0.11
Grad Zagrev,1,0.11
Grad Zareb,1,0.11
Hercegovačko Neretvanska,1,0.11
Zapadnohercegovačka,1,0.11
Splitskodalmstinska,1,0.11
Istra,1,0.11
šibensko-kninska,1,0.11
Imotski,1,0.11
Split županija,1,0.11
koprivnicko-krizevacka,1,0.11
Primorsko goraka,1,0.11
Osječko- Baranjska,1,0.11
Osjecko Baranjska,1,0.11
Osječko- baranjska,1,0.11
Slavonsko Baranjska županija,1,0.11
Osiječko Baranjska,1,0.11
Osječko-Baranjska,1,0.11
Osječko-Baranjska županija,1,0.11
Osiječko-baranjska,1,0.11
Sisacko moslavacka,1,0.11
Koprivničko - križevačka županija,1,0.11
Varazdinska zupanija,1,0.11
Ličko-senjska,1,0.11
Međumurska,1,0.11
Šibensko-kninska županija,1,0.11
šibensko kninska županija,1,0.11
Zadatska,1,0.11
Sisačko - moslavačka,1,0.11
Zadarsks,1,0.11
Bjelovarsko-bilogorska županije,1,0.11
Krapinsko-Zagorska,1,0.11
ŠIBENSKO KNINSKA,1,0.11
KZŽ,1,0.11
Zg,1,0.11
Vsraždinska,1,0.11
